"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Basileuterus rufifrons/delattrii",33536,"slash","y00434","Rufous-capped/Chestnut-capped Warbler","Passeriformes","Parulidae",NA,"Rufous-capped/Chestnut-capped Warbler"
"Passerellidae/Parulidae sp. (trilling song)",33695,"spuh","y00435","sparrow/warbler sp. (trilling song)","Passeriformes",NA,NA,"sparrow/warbler sp. (trilling song)"
"Cyanoloxia glaucocaerulea/brissonii",33889,"slash","y00436","Glaucous-blue/Ultramarine Grosbeak","Passeriformes","Cardinalidae",NA,"Glaucous-blue/Ultramarine Grosbeak"
"Emberizoides herbicola/ypiranganus",34787,"slash","y00437","Wedge-tailed/Lesser Grass-Finch","Passeriformes","Thraupidae",NA,"Wedge-tailed/Lesser Grass-Finch"
"Sporophila hypochroma/cinnamomea",34826,"slash","y00438","Rufous-rumped/Chestnut Seedeater","Passeriformes","Thraupidae",NA,"Rufous-rumped/Chestnut Seedeater"
"Sporophila intermedia/schistacea",34880,"slash","y00439","Gray/Slate-colored Seedeater","Passeriformes","Thraupidae",NA,"Gray/Slate-colored Seedeater"
"Larus canus/brachyrhynchus",6426,"slash","y00441","Common/Short-billed Gull","Charadriiformes","Laridae",NA,"Common/Short-billed Gull"
"Prinia cooki/polychroa",22696,"slash","y00442","Burmese/Brown Prinia","Passeriformes","Cisticolidae",NA,"Burmese/Brown Prinia"
"Prinia gracilis/lepida",22737,"slash","y00443","Graceful/Delicate Prinia","Passeriformes","Cisticolidae",NA,"פשוש/פשוש מזרחי"
"Zosterops stuhlmanni/senegalensis",25144,"slash","y00444","Green/Northern Yellow White-eye","Passeriformes","Zosteropidae",NA,"Green/Northern Yellow White-eye"
"Anser fabalis/serrirostris",287,"slash","y00468","Taiga/Tundra Bean-Goose","Anseriformes","Anatidae",NA,"אווז אחו"
"Anser caerulescens/rossii",258,"slash","y00469","Snow/Ross's Goose","Anseriformes","Anatidae",NA,"אווז שלג/קנדי"
"Branta hutchinsii/canadensis",339,"slash","y00470","Cackling/Canada Goose","Anseriformes","Anatidae",NA,"ברנטה קנדית/גוצית"
"Cygnus buccinator/columbianus",365,"slash","y00471","Trumpeter/Tundra Swan","Anseriformes","Anatidae",NA,"Trumpeter/Tundra Swan"
"Pterodroma phaeopygia/sandwichensis",6919,"slash","y00472","Galapagos/Hawaiian Petrel (Dark-rumped Petrel)","Procellariiformes","Procellariidae",NA,"Galapagos/Hawaiian Petrel (Dark-rumped Petrel)"
"Phaethon aethereus/rubricauda",6711,"slash","y00473","Red-billed/Red-tailed Tropicbird","Phaethontiformes","Phaethontidae",NA,"Red-billed/Red-tailed Tropicbird"
"Sula dactylatra/granti",7107,"slash","y00474","Masked/Nazca Booby","Suliformes","Sulidae",NA,"Masked/Nazca Booby"
"Fulica americana",5418,"species","y00475","American Coot","Gruiformes","Rallidae",NA,"אגמית אמריקנית"
"Tringa melanoleuca/flavipes",6134,"slash","y00476","Lesser/Greater Yellowlegs","Charadriiformes","Scolopacidae",NA,"ביצנית צהובת-רגל/עקודה"
"Gallinago gallinago/delicata",6087,"slash","y00477","Common/Wilson's Snipe","Charadriiformes","Scolopacidae",NA,"חרטומית ביצות/אמריקנית"
"Larus glaucoides",6460,"species","y00478","Iceland Gull","Charadriiformes","Laridae",NA,"שחף איסלנדי"
"Stercorarius pomarinus/parasiticus",6276,"slash","y00479","Parasitic/Pomarine Jaeger","Charadriiformes","Stercorariidae",NA,"חמסן טפיל/רחב-אברה"
"Stercorarius pomarinus/longicaudus",6280,"slash","y00480","Long-tailed/Pomarine Jaeger","Charadriiformes","Stercorariidae",NA,"חמסן זנבתן/רחב-אברה"
"Stercorarius parasiticus/longicaudus",6281,"slash","y00481","Long-tailed/Parasitic Jaeger","Charadriiformes","Stercorariidae",NA,"חמסן טפיל/זנבתן"
"Synthliboramphus scrippsi/hypoleucus/craveri",6330,"slash","y00482","Scripps's/Guadalupe/Craveri's Murrelet","Charadriiformes","Alcidae",NA,"Scripps's/Guadalupe/Craveri's Murrelet"
"Brotogeris versicolurus/chiriri",12492,"slash","y00483","White-winged/Yellow-chevroned Parakeet","Psittaciformes","Psittacidae",NA,"White-winged/Yellow-chevroned Parakeet"
"Vireo cassinii/plumbeus",18771,"slash","y00484","Cassin's/Plumbeous Vireo","Passeriformes","Vireonidae",NA,"Cassin's/Plumbeous Vireo"
"Vireo cassinii/solitarius",18762,"slash","y00485","Cassin's/Blue-headed Vireo","Passeriformes","Vireonidae",NA,"Cassin's/Blue-headed Vireo"
"Thryothorus ludovicianus [berlandieri Group]",26780,"issf","y00487","Carolina Wren (Northeast Mexico/South Texas)","Passeriformes","Troglodytidae","carwre","Carolina Wren (Northeast Mexico/South Texas)"
"Icterus spurius/cucullatus",33015,"slash","y00488","Orchard/Hooded Oriole","Passeriformes","Icteridae",NA,"Orchard/Hooded Oriole"
"Pluvialis sp.",5745,"spuh","y00494","Black-bellied Plover/golden-plover sp.","Charadriiformes","Charadriidae",NA,"חופזי בלתי-מזוהה"
