unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Herbaceous and Dwarf-Shrub Vegetation,NA,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Turdus merula,Eurasian Blackbird,שחרור,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Inland Sands,NA,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Inland Sands,NA,Alaudala rufescens/heinei,Mediterranean/Turkestan Short-toed Lark,עפרונן גמדי,1,,
Inland Sands,NA,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Inland Sands,NA,Ammomanes deserti,Desert Lark,עפרוני מדבר,1,,
Inland Sands,NA,Ammoperdix heyi,Sand Partridge,קורא מדברי,1,,
Inland Sands,NA,Anthus campestris,Tawny Pipit,פפיון צהוב,0,,
Inland Sands,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Inland Sands,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Inland Sands,NA,Calandrella brachydactyla,Greater Short-toed Lark,עפרונן קצר-אצבעות,1,,
Inland Sands,NA,Clamator glandarius,Great Spotted Cuckoo,קוקיה מצויצת,1,,
Inland Sands,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Inland Sands,NA,Corvus cornix,Hooded Crow,עורב אפור,1,,
Inland Sands,NA,Corvus ruficollis,Brown-necked Raven,עורב חום-עורף,1,,
Inland Sands,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Inland Sands,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Inland Sands,NA,Hirundo rustica,Barn Swallow,סנונית רפתות,0,,
Inland Sands,NA,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Inland Sands,NA,Lanius excubitor,Great Gray Shrike,חנקן גדול,1,,
Inland Sands,NA,Lanius nubicus,Masked Shrike,חנקן נובי,0,,
Inland Sands,NA,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,0,,
Inland Sands,NA,Passer domesticus,House Sparrow,דרור הבית,1,,
Inland Sands,NA,Prinia gracilis,Graceful Prinia,פשוש,1,,
Inland Sands,NA,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Inland Sands,NA,Rhodospiza obsoleta,Desert Finch,חצוצרן שחור-מקור,1,,
Inland Sands,NA,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
Inland Sands,NA,Streptopelia decaocto,Eurasian Collared-Dove,תור צווארון,1,,
Inland Sands,NA,Streptopelia turtur,European Turtle-Dove,תור מצוי,1,,
Inland Sands,NA,Upupa epops,Eurasian Hoopoe,דוכיפת,1,,
Inland Sands,NA,Vanellus spinosus,Spur-winged Lapwing,סיקסק,1,,
Loess Covered Areas in the Northern Negev,NA,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Loess Covered Areas in the Northern Negev,NA,Alaudala rufescens/heinei,Mediterranean/Turkestan Short-toed Lark,עפרונן גמדי,1,,
Loess Covered Areas in the Northern Negev,NA,Alectoris chukar,Chukar,חוגלת סלעים,1,,
Loess Covered Areas in the Northern Negev,NA,Ammomanes deserti,Desert Lark,עפרוני מדבר,1,,
Loess Covered Areas in the Northern Negev,NA,Anthus campestris,Tawny Pipit,פפיון צהוב,0,,
Loess Covered Areas in the Northern Negev,NA,Anthus similis,Long-billed Pipit,פפיון הרים,1,?,דוגר בבתות ים תיכוניות ובבתות ספר. לא סביר בשטחי לס
Loess Covered Areas in the Northern Negev,NA,Apus apus,Common Swift,סיס חומות,0,,
